ear,duration,label
0.175,0.724,dash
0.16,0.777,dash
0.17,0.637,dash
0.19,0.777,dash
0.192,0.551,dash
0.175,0.802,dash
0.183,0.716,dash
0.199,0.887,dash
0.157,0.834,dash
0.22,0.632,dash
0.154,0.678,dash
0.151,0.823,dash
0.176,0.561,dash
0.169,0.565,dash
0.198,0.513,dash
0.198,0.723,dash
0.176,0.858,dash
0.184,0.988,dash
0.183,0.839,dash
0.186,0.933,dash
0.172,0.677,dash
0.165,0.662,dash
0.167,0.941,dash
0.176,0.912,dash
0.179,0.894,dash
0.165,0.839,dash
0.175,0.848,dash
0.162,0.638,dash
0.172,0.644,dash
0.186,0.824,dash
0.186,0.8,dash
0.162,0.932,dash
0.19,0.8,dash
0.184,0.594,dash
0.18,0.709,dash
0.174,0.681,dash
0.196,0.898,dash
0.19,0.715,dash
0.172,0.854,dash
0.204,0.858,dash
0.201,0.961,dash
0.219,0.956,dash
0.19,0.74,dash
0.209,0.56,dash
0.188,0.975,dash
0.181,0.858,dash
0.161,0.608,dash
0.191,0.858,dash
0.156,0.702,dash
0.162,0.808,dash
0.207,0.886,dash
0.184,0.908,dash
0.194,0.802,dash
0.218,0.702,dash
0.207,0.939,dash
0.205,0.626,dash
0.165,0.641,dash
0.177,0.733,dash
0.151,0.82,dash
0.158,0.519,dash
0.15,0.778,dash
0.216,0.612,dash
0.203,0.543,dash
0.158,0.635,dash
0.215,0.944,dash
0.189,0.548,dash
0.178,0.555,dash
0.213,0.898,dash
0.164,0.761,dash
0.187,0.811,dash
0.152,0.789,dash
0.206,0.767,dash
0.184,0.635,dash
0.193,0.531,dash
0.205,0.674,dash
0.169,0.551,dash
0.166,0.958,dash
0.195,0.74,dash
0.16,0.784,dash
0.165,0.77,dash
0.215,0.582,dash
0.155,0.549,dash
0.208,0.977,dash
0.198,0.862,dash
0.159,0.668,dash
0.187,0.521,dash
0.152,0.621,dash
0.206,0.798,dash
0.152,0.562,dash
0.189,0.66,dash
0.153,0.998,dash
0.181,0.947,dash
0.196,0.975,dash
0.219,0.566,dash
0.161,0.702,dash
0.165,0.839,dash
0.175,0.953,dash
0.156,0.537,dash
0.152,0.592,dash
0.163,0.718,dash
0.193,0.639,dash
0.187,0.522,dash
0.16,0.507,dash
0.2,0.715,dash
0.204,0.75,dash
0.186,0.984,dash
0.156,0.947,dash
0.154,0.817,dash
0.181,0.575,dash
0.173,0.535,dash
0.198,0.544,dash
0.188,0.651,dash
0.179,0.989,dash
0.189,0.627,dash
0.181,0.505,dash
0.157,0.804,dash
0.17,0.881,dash
0.203,0.613,dash
0.191,0.951,dash
0.184,0.869,dash
0.191,0.69,dash
